Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.740712,0.316116,0.280948,0.44312,78554,82382,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,389221,.,.,261858.000000,112918.000000,,2.31901025523,136248,.,.,34736.000000,81153.000000,,0.428031003167,1767131,.,.,1601917.000000,153239.000000,,10.4537160906,401676,.,.,286190.000000,112399.000000,,2.54619703022,868983,.,.,865460.000000,128.000000,,6761.40625,496472,.,.,450267.000000,40712.000000,,11.0598103753
INDEL,*,*,PASS,*,QUAL,*,0.740712,0.316116,0.280948,0.44312,78554,82382,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,389221,.,.,261858.000000,112918.000000,,2.31901025523,136248,.,.,34736.000000,81153.000000,,0.428031003167,1767131,.,.,1601917.000000,153239.000000,,10.4537160906,401676,.,.,286190.000000,112399.000000,,2.54619703022,868983,.,.,865460.000000,128.000000,,6761.40625,496472,.,.,450267.000000,40712.000000,,11.0598103753
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.512634,0.188824,0.325602,0.27599,58771,63316,83977437.000000,62848827.000000,0.000000,229975,.,.,127623.000000,85990.000000,,1.48416094895,117893,.,.,96335.000000,19234.000000,,5.0085785588,112082,.,.,31288.000000,66756.000000,,0.468691952783,959711,.,.,931300.000000,25599.000000,,36.3803273565,122212,.,.,102685.000000,19118.000000,,5.37111622555,525015,.,.,523624.000000,55.000000,,9520.43636364,312484,.,.,304991.000000,6426.000000,,47.4620292561
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.512634,0.188824,0.325602,0.27599,58771,63316,83977437.000000,62848827.000000,0.000000,229975,.,.,127623.000000,85990.000000,,1.48416094895,117893,.,.,96335.000000,19234.000000,,5.0085785588,112082,.,.,31288.000000,66756.000000,,0.468691952783,959711,.,.,931300.000000,25599.000000,,36.3803273565,122212,.,.,102685.000000,19118.000000,,5.37111622555,525015,.,.,523624.000000,55.000000,,9520.43636364,312484,.,.,304991.000000,6426.000000,,47.4620292561
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.882766,0.603342,0.759986,0.716784,1772,1276,123639327.000000,22632619.000000,0.000000,18962,.,.,11181.000000,6091.000000,,1.83565916927,16739,.,.,10831.000000,4639.000000,,2.33477042466,2223,.,.,350.000000,1452.000000,,0.241046831956,120689,.,.,94816.000000,23227.000000,,4.08214577862,17477,.,.,12629.000000,4581.000000,,2.75682165466,11490,.,.,11327.000000,4.000000,,2831.75,91722,.,.,70860.000000,18642.000000,,3.80109430319
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.882766,0.603342,0.759986,0.716784,1772,1276,123639327.000000,22632619.000000,0.000000,18962,.,.,11181.000000,6091.000000,,1.83565916927,16739,.,.,10831.000000,4639.000000,,2.33477042466,2223,.,.,350.000000,1452.000000,,0.241046831956,120689,.,.,94816.000000,23227.000000,,4.08214577862,17477,.,.,12629.000000,4581.000000,,2.75682165466,11490,.,.,11327.000000,4.000000,,2831.75,91722,.,.,70860.000000,18642.000000,,3.80109430319
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.605737,0.265631,0.356017,0.36931,76590,72087,252347426.000000,122953793.000000,0.000000,339129,.,.,186108.000000,118356.000000,,1.57244246173,205423,.,.,151913.000000,39188.000000,,3.87651832194,133706,.,.,34195.000000,79168.000000,,0.431929567502,1274334,.,.,1195272.000000,67502.000000,,17.7072086753,217990,.,.,176155.000000,38858.000000,,4.53330073601,602659,.,.,599284.000000,77.000000,,7782.90909091,453685,.,.,419833.000000,28567.000000,,14.6964329471
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.605737,0.265631,0.356017,0.36931,76590,72087,252347426.000000,122953793.000000,0.000000,339129,.,.,186108.000000,118356.000000,,1.57244246173,205423,.,.,151913.000000,39188.000000,,3.87651832194,133706,.,.,34195.000000,79168.000000,,0.431929567502,1274334,.,.,1195272.000000,67502.000000,,17.7072086753,217990,.,.,176155.000000,38858.000000,,4.53330073601,602659,.,.,599284.000000,77.000000,,7782.90909091,453685,.,.,419833.000000,28567.000000,,14.6964329471
INDEL,*,L1H_gt500,ALL,*,QUAL,*,0.955357,0.758865,0.56682,0.84585,9,10,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,214,.,.,123.000000,91.000000,,1.35164835165,10,.,.,1.000000,9.000000,,0.111111111111,651,.,.,522.000000,126.000000,,4.14285714286,214,.,.,124.000000,90.000000,,1.37777777778,68,.,.,67.000000,0.000000,,,369,.,.,331.000000,36.000000,,9.19444444444
INDEL,*,L1H_gt500,PASS,*,QUAL,*,0.955357,0.758865,0.56682,0.84585,9,10,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,214,.,.,123.000000,91.000000,,1.35164835165,10,.,.,1.000000,9.000000,,0.111111111111,651,.,.,522.000000,126.000000,,4.14285714286,214,.,.,124.000000,90.000000,,1.37777777778,68,.,.,67.000000,0.000000,,,369,.,.,331.000000,36.000000,,9.19444444444
INDEL,*,MHC,ALL,*,QUAL,*,0.911747,0.552941,0.471254,0.688396,76,140,4970557.000000,4634060.000000,0.000000,1677,.,.,1058.000000,549.000000,,1.92714025501,1529,.,.,993.000000,489.000000,,2.03067484663,148,.,.,65.000000,60.000000,,1.08333333333,5305,.,.,4553.000000,714.000000,,6.37675070028,1551,.,.,1049.000000,487.000000,,2.15400410678,1254,.,.,1249.000000,2.000000,,624.5,2500,.,.,2255.000000,225.000000,,10.0222222222
INDEL,*,MHC,PASS,*,QUAL,*,0.911747,0.552941,0.471254,0.688396,76,140,4970557.000000,4634060.000000,0.000000,1677,.,.,1058.000000,549.000000,,1.92714025501,1529,.,.,993.000000,489.000000,,2.03067484663,148,.,.,65.000000,60.000000,,1.08333333333,5305,.,.,4553.000000,714.000000,,6.37675070028,1551,.,.,1049.000000,487.000000,,2.15400410678,1254,.,.,1249.000000,2.000000,,624.5,2500,.,.,2255.000000,225.000000,,10.0222222222
INDEL,*,TS_boundary,ALL,*,QUAL,*,0.782975,0.721562,0.712141,0.751015,512,358,3036641434.000000,2546949881.000000,0.000000,3442,.,.,1615.000000,1337.000000,,1.20792819746,2695,.,.,1466.000000,877.000000,,1.67160775371,747,.,.,149.000000,460.000000,,0.323913043478,14323,.,.,12566.000000,1750.000000,,7.18057142857,2975,.,.,2121.000000,854.000000,,2.48360655738,1148,.,.,1145.000000,3.000000,,381.666666667,10200,.,.,9300.000000,893.000000,,10.4143337066
INDEL,*,TS_boundary,PASS,*,QUAL,*,0.782975,0.721562,0.712141,0.751015,512,358,3036641434.000000,2546949881.000000,0.000000,3442,.,.,1615.000000,1337.000000,,1.20792819746,2695,.,.,1466.000000,877.000000,,1.67160775371,747,.,.,149.000000,460.000000,,0.323913043478,14323,.,.,12566.000000,1750.000000,,7.18057142857,2975,.,.,2121.000000,854.000000,,2.48360655738,1148,.,.,1145.000000,3.000000,,381.666666667,10200,.,.,9300.000000,893.000000,,10.4143337066
INDEL,*,TS_contained,ALL,*,QUAL,*,0.740433,0.314796,0.0,0.441772,78042,82024,2546949881.000000,2546949881.000000,0.000000,522027,.,.,294979.000000,192734.000000,,1.53049799205,386526,.,.,260392.000000,112041.000000,,2.32407779295,135501,.,.,34587.000000,80693.000000,,0.428624539923,1266536,.,.,1148384.000000,111670.000000,,10.2837288439,398701,.,.,284069.000000,111545.000000,,2.54667622932,867835,.,.,864315.000000,125.000000,,6914.52,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.740433,0.314796,0.0,0.441772,78042,82024,2546949881.000000,2546949881.000000,0.000000,522027,.,.,294979.000000,192734.000000,,1.53049799205,386526,.,.,260392.000000,112041.000000,,2.32407779295,135501,.,.,34587.000000,80693.000000,,0.428624539923,1266536,.,.,1148384.000000,111670.000000,,10.2837288439,398701,.,.,284069.000000,111545.000000,,2.54667622932,867835,.,.,864315.000000,125.000000,,6914.52,0,.,.,0.000000,0.000000,,
INDEL,*,alldifficultregions,ALL,*,QUAL,*,0.637377,0.279829,0.347648,0.388912,77001,73789,642823514.000000,416632300.000000,0.000000,370569,.,.,204152.000000,131722.000000,,1.54987018114,236192,.,.,169705.000000,52137.000000,,3.25498206648,134377,.,.,34447.000000,79585.000000,,0.432832820255,1361848,.,.,1264677.000000,85490.000000,,14.7932740671,248601,.,.,193894.000000,51707.000000,,3.74985978688,639803,.,.,636374.000000,118.000000,,5393.0,473444,.,.,434409.000000,33665.000000,,12.9038764295
INDEL,*,alldifficultregions,PASS,*,QUAL,*,0.637377,0.279829,0.347648,0.388912,77001,73789,642823514.000000,416632300.000000,0.000000,370569,.,.,204152.000000,131722.000000,,1.54987018114,236192,.,.,169705.000000,52137.000000,,3.25498206648,134377,.,.,34447.000000,79585.000000,,0.432832820255,1361848,.,.,1264677.000000,85490.000000,,14.7932740671,248601,.,.,193894.000000,51707.000000,,3.74985978688,639803,.,.,636374.000000,118.000000,,5393.0,473444,.,.,434409.000000,33665.000000,,12.9038764295
INDEL,*,alllowmapandsegdupregions,ALL,*,QUAL,*,0.917708,0.422165,0.732119,0.5783,1082,1199,305614803.000000,145229641.000000,0.000000,17523,.,.,10060.000000,7050.000000,,1.42695035461,16081,.,.,9728.000000,6046.000000,,1.60899768442,1442,.,.,332.000000,1004.000000,,0.330677290837,142683,.,.,120503.000000,21055.000000,,5.72324863453,16136,.,.,10121.000000,5956.000000,,1.69929482874,22086,.,.,21949.000000,37.000000,,593.216216216,104461,.,.,88433.000000,15062.000000,,5.8712654362
INDEL,*,alllowmapandsegdupregions,PASS,*,QUAL,*,0.917708,0.422165,0.732119,0.5783,1082,1199,305614803.000000,145229641.000000,0.000000,17523,.,.,10060.000000,7050.000000,,1.42695035461,16081,.,.,9728.000000,6046.000000,,1.60899768442,1442,.,.,332.000000,1004.000000,,0.330677290837,142683,.,.,120503.000000,21055.000000,,5.72324863453,16136,.,.,10121.000000,5956.000000,,1.69929482874,22086,.,.,21949.000000,37.000000,,593.216216216,104461,.,.,88433.000000,15062.000000,,5.8712654362
INDEL,*,collapsed_duplication_FP_regions,ALL,*,QUAL,*,0.865169,0.291045,0.958268,0.435565,9,8,8015146.000000,676291.000000,0.000000,89,.,.,44.000000,43.000000,,1.02325581395,77,.,.,40.000000,35.000000,,1.14285714286,12,.,.,4.000000,8.000000,,0.5,6422,.,.,5562.000000,798.000000,,6.96992481203,78,.,.,42.000000,35.000000,,1.2,190,.,.,187.000000,2.000000,,93.5,6154,.,.,5333.000000,761.000000,,7.00788436268
INDEL,*,collapsed_duplication_FP_regions,PASS,*,QUAL,*,0.865169,0.291045,0.958268,0.435565,9,8,8015146.000000,676291.000000,0.000000,89,.,.,44.000000,43.000000,,1.02325581395,77,.,.,40.000000,35.000000,,1.14285714286,12,.,.,4.000000,8.000000,,0.5,6422,.,.,5562.000000,798.000000,,6.96992481203,78,.,.,42.000000,35.000000,,1.2,190,.,.,187.000000,2.000000,,93.5,6154,.,.,5333.000000,761.000000,,7.00788436268
INDEL,*,false_duplications_correct_copy,ALL,*,QUAL,*,0.903226,0.133971,0.760321,0.233333,1,3,1237625.000000,683527.000000,0.000000,31,.,.,28.000000,3.000000,,9.33333333333,28,.,.,25.000000,3.000000,,8.33333333333,3,.,.,3.000000,0.000000,,,872,.,.,779.000000,86.000000,,9.05813953488,28,.,.,25.000000,3.000000,,8.33333333333,181,.,.,180.000000,1.000000,,180.0,663,.,.,574.000000,82.000000,,7.0
INDEL,*,false_duplications_correct_copy,PASS,*,QUAL,*,0.903226,0.133971,0.760321,0.233333,1,3,1237625.000000,683527.000000,0.000000,31,.,.,28.000000,3.000000,,9.33333333333,28,.,.,25.000000,3.000000,,8.33333333333,3,.,.,3.000000,0.000000,,,872,.,.,779.000000,86.000000,,9.05813953488,28,.,.,25.000000,3.000000,,8.33333333333,181,.,.,180.000000,1.000000,,180.0,663,.,.,574.000000,82.000000,,7.0
INDEL,*,gnomAD_InbreedingCoeff_slop1bp_merge1000bp,ALL,*,QUAL,*,0.62841,0.568653,0.806444,0.59704,1516,808,13528469.000000,2276581.000000,0.000000,6012,.,.,1627.000000,3740.000000,,0.435026737968,3778,.,.,1293.000000,2130.000000,,0.607042253521,2234,.,.,334.000000,1610.000000,,0.207453416149,36160,.,.,30487.000000,5312.000000,,5.73926957831,3980,.,.,1855.000000,2099.000000,,0.883754168652,3019,.,.,2982.000000,8.000000,,372.75,29161,.,.,25650.000000,3205.000000,,8.0031201248
INDEL,*,gnomAD_InbreedingCoeff_slop1bp_merge1000bp,PASS,*,QUAL,*,0.62841,0.568653,0.806444,0.59704,1516,808,13528469.000000,2276581.000000,0.000000,6012,.,.,1627.000000,3740.000000,,0.435026737968,3778,.,.,1293.000000,2130.000000,,0.607042253521,2234,.,.,334.000000,1610.000000,,0.207453416149,36160,.,.,30487.000000,5312.000000,,5.73926957831,3980,.,.,1855.000000,2099.000000,,0.883754168652,3019,.,.,2982.000000,8.000000,,372.75,29161,.,.,25650.000000,3205.000000,,8.0031201248
INDEL,*,nonunique_l250_m0_e0,ALL,*,QUAL,*,0.829596,0.216459,0.874345,0.343334,45,59,89246198.000000,13080805.000000,0.000000,669,.,.,460.000000,205.000000,,2.24390243902,555,.,.,379.000000,174.000000,,2.17816091954,114,.,.,81.000000,31.000000,,2.61290322581,20405,.,.,16666.000000,3628.000000,,4.59371554576,555,.,.,383.000000,172.000000,,2.22674418605,2009,.,.,1983.000000,24.000000,,82.625,17841,.,.,14300.000000,3432.000000,,4.16666666667
INDEL,*,nonunique_l250_m0_e0,PASS,*,QUAL,*,0.829596,0.216459,0.874345,0.343334,45,59,89246198.000000,13080805.000000,0.000000,669,.,.,460.000000,205.000000,,2.24390243902,555,.,.,379.000000,174.000000,,2.17816091954,114,.,.,81.000000,31.000000,,2.61290322581,20405,.,.,16666.000000,3628.000000,,4.59371554576,555,.,.,383.000000,172.000000,,2.22674418605,2009,.,.,1983.000000,24.000000,,82.625,17841,.,.,14300.000000,3432.000000,,4.16666666667
INDEL,*,notinAllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.917826,0.448848,0.229266,0.602871,19858,19097,2850902974.000000,2479394549.000000,0.000000,296311,.,.,169519.000000,108214.000000,,1.56651634724,271962,.,.,165991.000000,93741.000000,,1.77074065777,24349,.,.,3528.000000,14473.000000,,0.243764250674,809691,.,.,672777.000000,127784.000000,,5.26495492393,280106,.,.,184094.000000,93339.000000,,1.97231596653,343950,.,.,341827.000000,73.000000,,4682.56164384,185635,.,.,146856.000000,34372.000000,,4.27254742232
INDEL,*,notinAllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.917826,0.448848,0.229266,0.602871,19858,19097,2850902974.000000,2479394549.000000,0.000000,296311,.,.,169519.000000,108214.000000,,1.56651634724,271962,.,.,165991.000000,93741.000000,,1.77074065777,24349,.,.,3528.000000,14473.000000,,0.243764250674,809691,.,.,672777.000000,127784.000000,,5.26495492393,280106,.,.,184094.000000,93339.000000,,1.97231596653,343950,.,.,341827.000000,73.000000,,4682.56164384,185635,.,.,146856.000000,34372.000000,,4.27254742232
INDEL,*,notinAllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.986007,0.408833,0.08733,0.578005,1978,10284,2682532985.000000,2419289583.000000,0.000000,186808,.,.,110926.000000,75745.000000,,1.46446630141,184194,.,.,110337.000000,73734.000000,,1.49641956221,2614,.,.,589.000000,2011.000000,,0.292889109896,493311,.,.,407161.000000,85744.000000,,4.74856549729,184069,.,.,110411.000000,73549.000000,,1.50118968307,266161,.,.,266016.000000,51.000000,,5216.0,43081,.,.,30734.000000,12144.000000,,2.53079710145
INDEL,*,notinAllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.986007,0.408833,0.08733,0.578005,1978,10284,2682532985.000000,2419289583.000000,0.000000,186808,.,.,110926.000000,75745.000000,,1.46446630141,184194,.,.,110337.000000,73734.000000,,1.49641956221,2614,.,.,589.000000,2011.000000,,0.292889109896,493311,.,.,407161.000000,85744.000000,,4.74856549729,184069,.,.,110411.000000,73549.000000,,1.50118968307,266161,.,.,266016.000000,51.000000,,5216.0,43081,.,.,30734.000000,12144.000000,,2.53079710145
INDEL,*,notinalldifficultregions,ALL,*,QUAL,*,0.987516,0.401135,0.057442,0.570521,1567,8575,2292056897.000000,2125611076.000000,0.000000,155239,.,.,92769.000000,62363.000000,,1.48756474191,153301,.,.,92436.000000,60772.000000,,1.52102942144,1938,.,.,333.000000,1591.000000,,0.209302325581,405554,.,.,337514.000000,67755.000000,,4.98138882739,153337,.,.,92567.000000,60685.000000,,1.52536870726,228921,.,.,228829.000000,11.000000,,20802.6363636,23296,.,.,16118.000000,7059.000000,,2.28332625018
INDEL,*,notinalldifficultregions,PASS,*,QUAL,*,0.987516,0.401135,0.057442,0.570521,1567,8575,2292056897.000000,2125611076.000000,0.000000,155239,.,.,92769.000000,62363.000000,,1.48756474191,153301,.,.,92436.000000,60772.000000,,1.52102942144,1938,.,.,333.000000,1591.000000,,0.209302325581,405554,.,.,337514.000000,67755.000000,,4.98138882739,153337,.,.,92567.000000,60685.000000,,1.52536870726,228921,.,.,228829.000000,11.000000,,20802.6363636,23296,.,.,16118.000000,7059.000000,,2.28332625018
INDEL,*,notinalllowmapandsegdupregions,ALL,*,QUAL,*,0.734521,0.312801,0.240989,0.438755,77466,81168,2629265608.000000,2397013735.000000,0.000000,507758,.,.,286452.000000,186896.000000,,1.53268127729,372959,.,.,252050.000000,106757.000000,,2.36096930412,134799,.,.,34402.000000,80139.000000,,0.429279127516,1623133,.,.,1480248.000000,132087.000000,,11.2066138227,385363,.,.,276021.000000,106327.000000,,2.59596339594,846613,.,.,843229.000000,91.000000,,9266.25274725,391157,.,.,360998.000000,25669.000000,,14.0635786357
INDEL,*,notinalllowmapandsegdupregions,PASS,*,QUAL,*,0.734521,0.312801,0.240989,0.438755,77466,81168,2629265608.000000,2397013735.000000,0.000000,507758,.,.,286452.000000,186896.000000,,1.53268127729,372959,.,.,252050.000000,106757.000000,,2.36096930412,134799,.,.,34402.000000,80139.000000,,0.429279127516,1623133,.,.,1480248.000000,132087.000000,,11.2066138227,385363,.,.,276021.000000,106327.000000,,2.59596339594,846613,.,.,843229.000000,91.000000,,9266.25274725,391157,.,.,360998.000000,25669.000000,,14.0635786357
INDEL,*,refseq_cds,ALL,*,QUAL,*,0.97416,0.0632,0.083933,0.118699,10,97,34083082.000000,31435292.000000,0.000000,387,.,.,250.000000,133.000000,,1.87969924812,377,.,.,250.000000,123.000000,,2.0325203252,10,.,.,0.000000,10.000000,,0.0,6529,.,.,6325.000000,195.000000,,32.4358974359,378,.,.,252.000000,124.000000,,2.03225806452,5603,.,.,5602.000000,0.000000,,,548,.,.,471.000000,71.000000,,6.6338028169
INDEL,*,refseq_cds,PASS,*,QUAL,*,0.97416,0.0632,0.083933,0.118699,10,97,34083082.000000,31435292.000000,0.000000,387,.,.,250.000000,133.000000,,1.87969924812,377,.,.,250.000000,123.000000,,2.0325203252,10,.,.,0.000000,10.000000,,0.0,6529,.,.,6325.000000,195.000000,,32.4358974359,378,.,.,252.000000,124.000000,,2.03225806452,5603,.,.,5602.000000,0.000000,,,548,.,.,471.000000,71.000000,,6.6338028169
INDEL,C16_PLUS,*,ALL,*,QUAL,*,1.0,0.0,0.0,0.0,0,0,2809068885,2546949881.000000,0.000000,1,.,.,0.000000,0.000000,,,1,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,PASS,*,QUAL,*,1.0,0.0,0.0,0.0,0,0,2809068885,2546949881.000000,0.000000,1,.,.,0.000000,0.000000,,,1,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,83977437.000000,62848827.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,83977437.000000,62848827.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,123639327.000000,22632619.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,123639327.000000,22632619.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,1.0,0.0,0.0,0.0,0,0,252347426.000000,122953793.000000,0.000000,1,.,.,0.000000,0.000000,,,1,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,1.0,0.0,0.0,0.0,0,0,252347426.000000,122953793.000000,0.000000,1,.,.,0.000000,0.000000,,,1,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,L1H_gt500,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3288114.000000,2227709.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,L1H_gt500,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3288114.000000,2227709.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,MHC,ALL,*,QUAL,*,1.0,0.0,0.0,0.0,0,0,4970557.000000,4634060.000000,0.000000,1,.,.,0.000000,0.000000,,,1,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,MHC,PASS,*,QUAL,*,1.0,0.0,0.0,0.0,0,0,4970557.000000,4634060.000000,0.000000,1,.,.,0.000000,0.000000,,,1,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3036641434.000000,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3036641434.000000,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_contained,ALL,*,QUAL,*,1.0,0.0,0.0,0.0,0,0,2546949881.000000,2546949881.000000,0.000000,1,.,.,0.000000,0.000000,,,1,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_contained,PASS,*,QUAL,*,1.0,0.0,0.0,0.0,0,0,2546949881.000000,2546949881.000000,0.000000,1,.,.,0.000000,0.000000,,,1,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
